name,rating,review
다만 악에서 구하소서,,
,10,이정재ㅈㄴ지드래곤같았음
,6,연기는손색이없으나스토리가조금빈약하지않나생각합니다
,10,신세계가흥행한이유믿고보는배우황정민이정재fast박정민연기에놀라다
,10,액션도쩔고계속장소가바뀌며치달리는영화라지루하지도않다황정민이정재박정민연기구멍이없어서더좋은듯
,10,목숨과바꾼가족사랑그리고액션특히박정민배우님에충격적인변신좋았어요
,10,역시믿고보는배우황정민이정재박정민이영화는꼭봐야한다올해최고의작품강추
,10,역시박정민조연이아니라나에겐주연강철비2보려다조연으로박정민이나온다해서바로선택한영화인데완전나의신의하수였다
,10,와이거감독판으로도나왔으면좋겠다
,10,황정민이랑이정재같이나오는영화는다재밌어
,10,몰입감긴장감으로시간순삭ㅋㅋㅋ존잼
강철비2: 정상회담,,
,6,미국대통령이너무나쉽고허술하게납치되는과정을보면서어이상실한번하고백악관이이사실조차모른다는데서두번어이상실예의없고안하무인의미대통령의코미디캐릭터를보면서기대접고봄잠수함액션은볼만함
,2,별한개도아깝다이글보게된다면이영화절대보지마라그래야한국영화가발전한다
,1,평점높은거알바라고보면되요개실망했습니다저배우들을데리고이정도밖에안되나요억지스러운스토리와웃기고싶은욕망아마추어같은영상미기억나지않을음악까지
,1,연출진이호화스러운데뭔가많이구멍난듯함1하고전혀안이어지는스토리1에비해서많이지루함그나마드문드문유머연기때문에버팀도중에코골면서잠든아저씨도있었음조연주연들은워낙연출진들이너무좋아서연기가괜찮았음곽도원의트롤링과정우성유연석앵거스맥페이튼미대통령의꽁트은근웃김으로보는영화우리나라대통령이힘없다는걸은근비꼼근데더웃긴건미대통령도힘없이여기저기눈치보는것도불쌍북위원장도쿠테타때문에아무힘도못쓰고주변만보고있음그리고일본은역시개baby다쿠키가있는데찜찜
,1,정도를모르네제발정도껏
,7,재미있게봤는데마지막에너무정치적인제스쳐를강요하는거같아요
,1,북에서개봉하면인기많을듯ㅋㅋㅋ김정은미화영화
,2,낚였다억측난무정치다큐영화
,4,2시간짜리역사수업하품을멈출수가없네국뽕은왜이리심한거냐문재인의판타지봐주느라힘들었다
,1,전편보다지루함스토리도별로임
반도,,
,2,부산행반도못따라감그래서반도임
,6,재미있게잘봤습니다다만조금질질끄는게아쉬웠어요전형적인약간의억지감동은빼주셨으면
,4,영상미는좋은데스토리가흥미가안생겨요배우님들고생많았습니다
,1,진짜재미없음다른말필요없음
,8,미안하지만jane명찰보고빵터짐
,1,실망대망교과서적연출로도평타이상은가능할좀비소재를이렇게까지
,2,한창때리고부수고싸우는거좋아하는10세남아머리에서나올법한수준낮은각본과연출대신추진력하나는인정이런지지고볶는짜파게티같은각본을완결짓고영화판에내다니그점은대단애기들도연기연습더해야겠더라
,5,분노의질주를본것같았다감동을억지로씬에담으려는거같았고현실성없는내용들이많이깔려있어서보는내내이질감이느껴져2점드렸습니다
,6,기아모하비홍보영상을보고나온느낌이제일강하게들었고차량액션신은대부분cg인데이질감이느껴짐좀비연출은죄다때거지로덤비는연출아쉬움그냥볼만한수준의영화이영화보다부산행한번더보는걸추천드림
,2,부산행의반도못하다해서반도인가
애니멀 크래커,,
,10,볼거리도다양하고음악도좋고아이들과보기에딱좋은애니메이션이에요
